product_code,product_info,value,currency,type
Nike_Air,Nike Air More Uptempo,105,usd,transaction
Nike_Club,Nike Club Joggers BB,55,usd,transaction
Nike_Uptempo,Nike Uptempo (Gs) 415082,130,usd,transaction
Nike_SportSwear,Nike SportSwear Club Tee,25,usd,transaction
Nike Dry, Nike Dry Park VII Junior,39,usd,transaction
Nike_EV1136-070, Nike EV1136-070 KD Trace Sunglasses,39,usd,transaction
NIKE_Cushion, NIKE Performance Cushion Crew Socks,8,usd,transaction
UMYOGO_Men_Walking_Blad, UMYOGO Mens Athletic Walking Blad,18,usd,transaction
Adidas_3S, Adidas 3-Stripes Shorts,18,usd,transaction
EMOZU_Men_5, EMOZU Men 5 Inch Running Shorts,18,usd,transaction
BUXKR_Men_5, BUXKR Men 5 Inch Workout Shorts,36,usd,transaction
PUMA_Reset_V2, PUMA Reset V2 Three-Hand Date,9,usd,transaction
PUMA_Unisex Adult, PUMA unisex adult Evercat Contender Backpack,36,usd,transaction
PUMA_Men_Axelion, PUMA Men Axelion Perf Running Shoe,2,usd,transaction
COKAFIL_Mens, COKAFIL Mens Running Shoes Athletic,2,usd,transaction
Wonesion_Womens, Wonesion Womens Walking Running Shoes,8,usd,transaction
Lenovo_Ideapad_3i, Lenovo Ideapad 3i 14.0inch FHD Laptop,9,usd,transaction
Lenovo_IdeaPad_3_Intel, Lenovo IdeaPad 3 Intel i5-1035G1,2,usd,transaction
HP_Stream_14, HP Stream 14 inches HD(1366x768) Display,39,usd,transaction
Ytonet_Laptop_Case, Ytonet Laptop Case 15.6 inch TSA,2,usd,transaction
Fire_7_tablet, Fire 7 tablet 7inch display 16 GB,2,usd,transaction
Kid-Proof_Case, Kid-Proof Case for Fire 7 Tablet,39,usd,transaction
Fire_TV_Stick, Fire TV Stick Lite with Alexa Voice Remote Lite,22,usd,transaction
Nike_Air_Max_270, Nike Women's Air Max 270 Running,12,usd,transaction
MITVR_Women, MITVR Women's Athletic Sport Running Shoes,8,usd,transaction
Mens_Fashion_123a, Mens Fashion Athletic Joggers Pants,13,usd,transaction
Nike_835573, Nike 835573 Men's Epic Training Pants,21,usd,transaction
DUOYANGJIASHA_Leather_Loafers, DUOYANGJIASHA Women's Comfortable Leather Loafers,18,usd,transaction
Amazon Diamond 3, Amazon Collection Diamond 3 Stone Pendant Necklace,9,usd,transaction
YOHOYO_Love_Heart, YOHOYO Love Heart Pendant Necklaces Jewelry,18,usd,transaction
